Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
08/03/2019,90,Ozone,Alpine,06-073-1006,AQS,7,90,0,.,69,11
08/04/2019,93,Ozone,Alpine,06-073-1006,AQS,7,93,0,15,59,11
08/05/2019,87,Ozone,Alpine,06-073-1006,AQS,6,87,0,.,61,16
08/06/2019,169,Ozone,Pala Airpad,06-073-1201,AQS,6,169,0,.,63,17
08/07/2019,84,Ozone,Alpine,06-073-1006,AQS,6,84,0,23,75,16
08/08/2019,74,Ozone,Alpine,06-073-1006,AQS,6,74,.,.,71,16
08/09/2019,77,Ozone,Alpine,06-073-1006,AQS,7,77,0,.,68,22
08/10/2019,66,PM2.5,Pala Airpad,06-073-1201,AQS,6,51,0,19,66,13
08/11/2019,60,PM2.5,Pala Airpad,06-073-1201,AQS,6,44,0,.,60,12
08/12/2019,67,Ozone,Alpine,06-073-1006,AQS,5,67,0,.,54,13
08/13/2019,115,Ozone,Alpine,06-073-1006,AQS,6,115,.,30,53,19
08/14/2019,93,Ozone,Alpine,06-073-1006,AQS,8,93,0,.,63,21
08/15/2019,101,Ozone,Alpine,06-073-1006,AQS,7,101,0,.,66,19
08/16/2019,93,Ozone,Alpine,06-073-1006,AQS,6,93,.,19,63,18
08/17/2019,71,Ozone,Alpine,06-073-1006,AQS,6,71,0,.,61,12
08/18/2019,62,PM2.5,Pala Airpad,06-073-1201,AQS,6,47,0,.,62,8
08/19/2019,51,Ozone,Alpine,06-073-1006,AQS,6,51,0,17,48,13
08/20/2019,74,Ozone,Alpine,06-073-1006,AQS,6,74,.,.,43,21
08/21/2019,108,Ozone,Alpine,06-073-1006,AQS,7,108,0,.,68,25
08/22/2019,90,Ozone,Alpine,06-073-1006,AQS,6,90,0,.,65,22
08/23/2019,93,Ozone,Alpine,06-073-1006,AQS,6,93,0,.,64,17
08/24/2019,73,PM2.5,Pala Airpad,06-073-1201,AQS,8,61,0,.,73,17
08/25/2019,61,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,7,61,0,29,59,16
08/26/2019,67,Ozone,Alpine,06-073-1006,AQS,7,67,0,.,66,31
08/27/2019,80,Ozone,Alpine,06-073-1006,AQS,6,80,0,.,58,20
08/28/2019,67,Ozone,Alpine,06-073-1006,AQS,7,67,0,22,58,18
08/29/2019,71,Ozone,Alpine,06-073-1006,AQS,7,71,0,.,67,21
08/30/2019,84,Ozone,Alpine,06-073-1006,AQS,7,84,0,.,64,25
08/31/2019,65,PM2.5,Pala Airpad,06-073-1201,AQS,7,54,0,24,65,12
09/01/2019,80,Ozone,Alpine,06-073-1006,AQS,7,80,0,.,63,13
09/02/2019,70,PM2.5,Pala Airpad,06-073-1201,AQS,7,45,0,.,70,21
09/03/2019,60,PM2.5,Donovan,06-073-1014,AQS,6,47,0,19,60,24
09/04/2019,64,Ozone,Alpine,06-073-1006,AQS,8,64,0,.,59,37
09/05/2019,60,PM2.5,Donovan,06-073-1014,AQS,7,50,0,.,60,29
09/06/2019,63,PM2.5,Pala Airpad,06-073-1201,AQS,8,48,0,36,63,22
09/07/2019,59,PM2.5,Donovan,06-073-1014,AQS,7,49,0,.,59,27
09/08/2019,58,PM2.5,Pala Airpad,06-073-1201,AQS,5,44,0,.,58,14
09/09/2019,62,PM2.5,Donovan,06-073-1014,AQS,6,51,0,28,62,18
09/10/2019,54,PM2.5,Donovan,06-073-1014,AQS,6,39,0,.,54,18
09/11/2019,54,PM2.5,Donovan,06-073-1014,AQS,6,48,0,.,54,18
09/12/2019,87,Ozone,Alpine,06-073-1006,AQS,6,87,0,55,62,25
09/13/2019,87,Ozone,Kearny Villa Rd.,06-073-1016,AQS,8,87,0,.,75,40
09/14/2019,147,Ozone,Alpine,06-073-1006,AQS,10,147,0,.,75,34
09/15/2019,84,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,9,84,0,21,67,35
09/16/2019,65,PM2.5,Pala Airpad,06-073-1201,AQS,7,48,0,.,65,24
09/17/2019,66,PM2.5,Pala Airpad,06-073-1201,AQS,6,38,0,.,66,21
09/18/2019,54,Ozone,Alpine,06-073-1006,AQS,6,54,0,35,53,17
09/19/2019,59,PM2.5,Donovan,06-073-1014,AQS,5,44,0,.,59,21
09/20/2019,64,Ozone,Alpine,06-073-1006,AQS,6,64,0,.,55,21
09/21/2019,77,Ozone,Alpine,06-073-1006,AQS,7,77,0,24,54,20
09/22/2019,67,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,7,67,0,.,62,19
09/23/2019,59,PM2.5,Donovan,06-073-1014,AQS,6,49,0,.,59,22
09/24/2019,71,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,7,71,0,52,60,25
09/25/2019,64,PM2.5,Pala Airpad,06-073-1201,AQS,6,61,0,.,64,27
09/26/2019,72,PM2.5,Pala Airpad,06-073-1201,AQS,6,28,.,.,72,22
09/27/2019,60,PM2.5,Pala Airpad,06-073-1201,AQS,6,32,0,27,60,15
09/28/2019,45,PM2.5,Pala Airpad,06-073-1201,AQS,6,36,0,.,45,15
09/29/2019,40,Ozone,Alpine,06-073-1006,AQS,5,40,0,.,34,14
09/30/2019,54,PM2.5,Pala Airpad,06-073-1201,AQS,5,42,0,32,54,24
10/01/2019,55,PM2.5,Donovan,06-073-1014,AQS,6,47,0,.,55,28
10/02/2019,87,Ozone,Alpine,06-073-1006,AQS,6,87,0,.,57,32
10/03/2019,93,Ozone,Alpine,06-073-1006,AQS,7,93,0,23,59,36
10/04/2019,80,Ozone,Alpine,06-073-1006,AQS,9,80,0,.,64,34
10/05/2019,119,Ozone,Alpine,06-073-1006,AQS,9,119,0,.,59,35
10/06/2019,119,Ozone,Chula Vista,06-073-0001,AQS,8,119,0,39,63,33
10/07/2019,100,Ozone,Alpine,06-073-1006,AQS,9,100,0,27,67,49
10/08/2019,84,Ozone,Alpine,06-073-1006,AQS,9,84,0,.,74,42
10/09/2019,68,PM2.5,Pala Airpad,06-073-1201,AQS,7,47,0,19,68,27
10/10/2019,69,PM2.5,Pala Airpad,06-073-1201,AQS,7,54,0,.,69,27
10/11/2019,73,PM2.5,Pala Airpad,06-073-1201,AQS,7,48,0,.,73,33
10/12/2019,64,Ozone,Alpine,06-073-1006,AQS,10,64,0,44,55,36
10/13/2019,59,PM2.5,Donovan,06-073-1014,AQS,8,54,0,.,59,20
10/14/2019,69,PM2.5,Pala Airpad,06-073-1201,AQS,6,49,0,.,69,26
10/15/2019,64,PM2.5,Donovan,06-073-1014,AQS,9,54,.,27,64,34
10/16/2019,81,PM2.5,Pala Airpad,06-073-1201,AQS,11,61,0,.,81,36
10/17/2019,70,PM2.5,Donovan,06-073-1014,AQS,8,58,.,.,70,42
10/18/2019,74,PM2.5,Pala Airpad,06-073-1201,AQS,7,50,0,59,74,32
10/19/2019,77,Ozone,Alpine,06-073-1006,AQS,7,77,0,.,66,28
10/20/2019,87,Ozone,Alpine,06-073-1006,AQS,9,87,0,.,64,35
10/21/2019,61,PM2.5,Donovan,06-073-1014,AQS,11,50,0,.,61,42
10/22/2019,77,Ozone,Alpine,06-073-1006,AQS,8,77,0,.,64,48
10/23/2019,105,Ozone,Alpine,06-073-1006,AQS,10,105,0,.,74,42
10/24/2019,100,PM10,Donovan,06-073-1014,AQS,10,46,0,100,58,60
10/25/2019,59,PM2.5,Donovan,06-073-1014,AQS,10,47,0,.,59,45
10/26/2019,80,Ozone,Alpine,06-073-1006,AQS,9,80,0,.,65,35
10/27/2019,72,PM2.5,Donovan,06-073-1014,AQS,7,48,0,.,72,35
10/28/2019,87,PM2.5,Pala Airpad,06-073-1201,AQS,8,43,0,.,87,40
10/29/2019,67,PM2.5,Donovan,06-073-1014,AQS,8,42,0,35,67,35
10/30/2019,123,PM10,Donovan,06-073-1014,AQS,7,42,0,123,75,31
10/31/2019,98,PM2.5,Donovan,06-073-1014,AQS,13,45,0,25,98,45
11/01/2019,65,PM2.5,Donovan,06-073-1014,AQS,17,47,0,.,65,48
11/02/2019,54,Ozone,Alpine,06-073-1006,AQS,14,54,0,26,53,46
11/03/2019,90,Ozone,Alpine,06-073-1006,AQS,13,90,0,.,73,44
11/04/2019,100,Ozone,Alpine,06-073-1006,AQS,13,100,0,.,88,50
11/05/2019,80,Ozone,Alpine,06-073-1006,AQS,14,80,0,57,78,40
11/06/2019,83,PM2.5,Pala Airpad,06-073-1201,AQS,10,77,0,.,83,36
11/07/2019,91,PM2.5,Pala Airpad,06-073-1201,AQS,9,58,.,.,91,28
11/08/2019,89,PM2.5,Pala Airpad,06-073-1201,AQS,16,46,.,27,89,53
11/09/2019,71,PM2.5,Pala Airpad,06-073-1201,AQS,16,47,0,.,71,38
11/10/2019,81,PM2.5,Donovan,06-073-1014,AQS,14,77,0,.,81,32
11/11/2019,80,PM2.5,Donovan,06-073-1014,AQS,9,61,0,50,80,31
