Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
7/17/2018,58,Ozone,Alpine,06-073-1006,AQS,6,58,0,.,52,12
7/18/2018,67,Ozone,Alpine,06-073-1006,AQS,6,67,0,.,45,17
7/19/2018,53,PM2.5,Pala Airpad,06-073-1201,AQS,5,50,0,30,53,13
7/20/2018,53,PM2.5,Pala Airpad,06-073-1201,AQS,5,45,0,.,53,15
7/21/2018,46,Ozone,Alpine,06-073-1006,AQS,6,46,0,.,39,8
7/22/2018,47,Ozone,Alpine,06-073-1006,AQS,6,47,0,12,28,14
7/23/2018,84,Ozone,Alpine,06-073-1006,AQS,6,84,0,.,40,17
7/24/2018,140,Ozone,Alpine,06-073-1006,AQS,7,140,0,.,59,25
7/25/2018,140,Ozone,Alpine,06-073-1006,AQS,6,140,0,45,65,18
7/26/2018,119,Ozone,Alpine,06-073-1006,AQS,7,119,0,.,70,25
7/27/2018,108,Ozone,Alpine,06-073-1006,AQS,7,108,.,.,71,20
7/28/2018,87,Ozone,Alpine,06-073-1006,AQS,6,87,0,23,64,13
7/29/2018,62,PM2.5,Pala Airpad,06-073-1201,AQS,6,44,0,.,62,9
7/30/2018,58,Ozone,La Posta Reservation,06-073-1011,AQS,7,58,0,.,57,21
7/31/2018,74,Ozone,Alpine,06-073-1006,AQS,6,74,0,18,48,17
8/1/2018,61,Ozone,La Posta Reservation,06-073-1011,AQS,6,61,.,15,43,17
8/2/2018,51,PM2.5,Donovan,06-073-1014,AQS,6,49,.,.,51,17
8/3/2018,71,Ozone,La Posta Reservation,06-073-1011,AQS,7,71,0,23,57,17
8/4/2018,77,Ozone,Alpine,06-073-1006,AQS,6,77,0,.,52,11
8/5/2018,80,Ozone,Alpine,06-073-1006,AQS,6,80,0,.,53,18
8/6/2018,122,Ozone,Alpine,06-073-1006,AQS,8,122,0,34,66,26
8/7/2018,115,Ozone,Alpine,06-073-1006,AQS,8,115,0,.,60,29
8/8/2018,66,PM2.5,Pala Airpad,06-073-1201,AQS,7,48,0,.,66,28
8/9/2018,87,Ozone,Alpine,06-073-1006,AQS,8,87,0,28,59,25
8/10/2018,73,PM2.5,Pala Airpad,06-073-1201,AQS,7,43,0,.,73,25
8/11/2018,53,PM2.5,Pala Airpad,06-073-1201,AQS,7,40,0,.,53,21
8/12/2018,46,PM2.5,Pala Airpad,06-073-1201,AQS,6,31,0,19,46,8
8/13/2018,45,Ozone,Alpine,06-073-1006,AQS,5,45,.,.,41,13
8/14/2018,52,PM2.5,Pala Airpad,06-073-1201,AQS,5,43,0,.,52,13
8/15/2018,48,PM2.5,Pala Airpad,06-073-1201,AQS,6,46,0,19,48,13
8/16/2018,54,Ozone,Alpine,06-073-1006,AQS,7,54,0,.,51,14
8/17/2018,74,Ozone,Alpine,06-073-1006,AQS,6,74,0,.,57,13
8/18/2018,66,PM2.5,Pala Airpad,06-073-1201,AQS,7,51,0,30,66,11
8/19/2018,71,Ozone,Alpine,06-073-1006,AQS,6,71,0,.,66,8
8/20/2018,84,Ozone,Alpine,06-073-1006,AQS,7,84,0,.,74,18
8/21/2018,87,Ozone,Alpine,06-073-1006,AQS,7,87,.,31,84,17
8/22/2018,89,PM2.5,Pala Airpad,06-073-1201,AQS,6,74,.,.,89,15
8/23/2018,74,Ozone,Alpine,06-073-1006,AQS,7,74,0,.,72,18
8/24/2018,93,PM2.5,Kearny Villa Rd.,06-073-1016,AQS,9,90,0,39,93,20
8/25/2018,110,PM2.5,Pala Airpad,06-073-1201,AQS,9,84,0,.,110,12
8/26/2018,142,PM2.5,Pala Airpad,06-073-1201,AQS,7,61,0,.,142,15
8/27/2018,93,Ozone,Alpine,06-073-1006,AQS,7,93,.,28,91,18
8/28/2018,83,PM2.5,Pala Airpad,06-073-1201,AQS,6,64,.,.,83,20
8/29/2018,75,PM2.5,Pala Airpad,06-073-1201,AQS,7,44,0,.,75,21
8/30/2018,64,Ozone,Alpine,06-073-1006,AQS,6,64,0,28,58,22
8/31/2018,100,Ozone,Alpine,06-073-1006,AQS,7,100,0,.,59,23
9/1/2018,77,PM2.5,Donovan,06-073-1014,AQS,6,74,0,.,77,14
9/2/2018,74,PM2.5,Pala Airpad,06-073-1201,AQS,5,48,0,29,74,10
9/3/2018,69,PM2.5,Pala Airpad,06-073-1201,AQS,5,47,0,.,69,9
9/4/2018,62,PM2.5,Pala Airpad,06-073-1201,AQS,6,46,0,.,62,17
9/5/2018,60,PM2.5,Pala Airpad,06-073-1201,AQS,5,58,0,28,60,9
9/6/2018,77,Ozone,Alpine,06-073-1006,AQS,6,77,0,.,39,14
9/7/2018,105,Ozone,Alpine,06-073-1006,AQS,7,105,0,.,50,21
9/8/2018,93,Ozone,Alpine,06-073-1006,AQS,8,93,0,26,61,18
9/9/2018,80,Ozone,Alpine,06-073-1006,AQS,13,80,0,.,69,25
9/10/2018,80,Ozone,Alpine,06-073-1006,AQS,7,80,0,.,62,20
9/11/2018,87,Ozone,Alpine,06-073-1006,AQS,6,87,0,41,65,23
9/12/2018,93,Ozone,Alpine,06-073-1006,AQS,6,93,0,.,67,22
9/13/2018,80,Ozone,Alpine,06-073-1006,AQS,8,80,0,.,45,22
9/14/2018,67,Ozone,Alpine,06-073-1006,AQS,8,67,0,24,57,29
9/15/2018,64,Ozone,Alpine,06-073-1006,AQS,8,64,0,.,56,20
9/16/2018,53,PM2.5,Pala Airpad,06-073-1201,AQS,7,51,0,.,53,16
9/17/2018,52,PM2.5,Pala Airpad,06-073-1201,AQS,6,49,0,40,52,23
9/18/2018,77,Ozone,Alpine,06-073-1006,AQS,6,77,0,.,45,24
9/19/2018,49,Ozone,El Cajon - Lexington Elementary School,06-073-1022,AQS,6,49,0,.,40,17
9/20/2018,84,Ozone,Alpine,06-073-1006,AQS,6,84,0,31,59,20
9/21/2018,97,Ozone,Alpine,06-073-1006,AQS,7,97,0,.,70,26
9/22/2018,108,Ozone,Alpine,06-073-1006,AQS,8,108,0,.,69,20
9/23/2018,69,PM2.5,Pala Airpad,06-073-1201,AQS,6,64,0,31,69,10
9/24/2018,62,PM2.5,Pala Airpad,06-073-1201,AQS,6,46,0,.,62,18
9/25/2018,56,PM2.5,Pala Airpad,06-073-1201,AQS,6,54,0,.,56,17
9/26/2018,55,PM2.5,Camp Pendleton,06-073-1008,AQS,6,51,0,30,55,17
9/27/2018,90,Ozone,Alpine,06-073-1006,AQS,7,90,0,.,69,28
9/28/2018,100,Ozone,Alpine,06-073-1006,AQS,7,100,0,.,78,22
9/29/2018,65,PM2.5,Pala Airpad,06-073-1201,AQS,7,46,0,24,65,13
9/30/2018,61,PM2.5,Pala Airpad,06-073-1201,AQS,7,44,0,.,61,14
10/1/2018,57,PM2.5,Donovan,06-073-1014,AQS,9,45,0,.,57,28
10/2/2018,46,PM2.5,Pala Airpad,06-073-1201,AQS,6,32,0,17,46,23
10/3/2018,52,PM2.5,Pala Airpad,06-073-1201,AQS,6,31,0,.,52,19
